Kategoria,Angielski,Polski,Przykładowe zdanie,Tłumaczenie zdania,Poziom
Technologia,Website,Strona internetowa,The website needs to be updated regularly.,Strona internetowa musi być regularnie aktualizowana.,B2
Technologia,Debugging,Debugowanie,Debugging helps to identify and fix code errors.,Debugowanie pomaga zidentyfikować i naprawić błędy w kodzie.,B2
Technologia,Backup,Kopia zapasowa,Always create a backup of your important files.,Zawsze twórz kopię zapasową swoich ważnych plików.,B2
Technologia,Login,Logowanie,You need to login to access your account.,"Musisz się zalogować, aby uzyskać dostęp do swojego konta.",B2
Technologia,Logout,Wylogowanie,Remember to logout after using public computers.,"Pamiętaj, aby się wylogować po korzystaniu z publicznych komputerów.",B2
Technologia,Malware,Złośliwe oprogramowanie,Malware can cause significant damage to your system.,Złośliwe oprogramowanie może spowodować znaczne szkody w systemie.,B2
Technologia,Virus,Wirus,The antivirus software detected a virus.,Oprogramowanie antywirusowe wykryło wirusa.,B2
Technologia,Bug,Błąd,There is a bug in the software that needs fixing.,"Jest błąd w oprogramowaniu, który wymaga naprawy.",B2
Technologia,Update,Aktualizacja,We need to install the latest software update.,Musimy zainstalować najnowszą aktualizację oprogramowania.,B2
Technologia,Patch,Łatka,The software patch fixed several security issues.,Łatka oprogramowania naprawiła kilka problemów z bezpieczeństwem.,B2
Technologia,Interface,Interfejs,The new interface is more user-friendly.,Nowy interfejs jest bardziej przyjazny dla użytkownika.,B2
Podróż,Itinerary,Plan podróży,The travel itinerary includes visits to several cities.,Plan podróży obejmuje wizyty w kilku miastach.,B2
Podróż,Destination,Cel podróży,Our final destination is Paris.,Naszym ostatecznym celem podróży jest Paryż.,B2
Podróż,Passport,Paszport,Make sure your passport is valid for at least six months.,"Upewnij się, że twój paszport jest ważny przez co najmniej sześć miesięcy.",B2
Podróż,Visa,Wiza,You need a visa to enter the country.,"Potrzebujesz wizy, aby wjechać do kraju.",B2
Podróż,Accommodation,Zakwaterowanie,We have booked accommodation in a five-star hotel.,Zarezerwowaliśmy zakwaterowanie w hotelu pięciogwiazdkowym.,B2
Podróż,Flight,Lot,The flight was delayed due to bad weather.,Lot został opóźniony z powodu złej pogody.,B2
Podróż,Travel insurance,Ubezpieczenie podróżne,It's wise to buy travel insurance before your trip.,Warto kupić ubezpieczenie podróżne przed wyjazdem.,B2
Podróż,Luggage,Bagaż,My luggage was lost during the flight.,Mój bagaż zaginął podczas lotu.,B2
Podróż,Guidebook,Przewodnik (książka),I always carry a guidebook when traveling to a new place.,"Zawsze zabieram przewodnik, gdy podróżuję do nowego miejsca.",B2
Podróż,Reservation,Rezerwacja,We made a reservation at a popular restaurant.,Zrobiliśmy rezerwację w popularnej restauracji.,B2
Podróż,Excursion,Wycieczka,The excursion to the mountains was breathtaking.,Wycieczka w góry była zapierająca dech w piersiach.,B2
Podróż,Tourist,Turysta,The city is full of tourists during the summer.,Miasto jest pełne turystów latem.,B2
Podróż,Souvenir,Pamiątka,I bought a souvenir for my friend.,Kupiłem pamiątkę dla mojego przyjaciela.,B2
Podróż,Customs,Cła,You must declare any items over the customs limit.,Musisz zadeklarować wszelkie przedmioty przekraczające limit celny.,B2
Podróż,Accommodation,Zakwaterowanie,The accommodation was comfortable and well-located.,Zakwaterowanie było wygodne i dobrze położone.,B2
Podróż,Backpacker,Turysta podróżujący z plecakiem,"As a backpacker, he prefers staying in hostels.","Jako turysta podróżujący z plecakiem, woli zatrzymywać się w hostelach.",B2
Podróż,Sightseeing,Zwiedzanie,Sightseeing in Rome includes visiting historical landmarks.,Zwiedzanie Rzymu obejmuje odwiedzanie zabytków historycznych.,B2
Podróż,Baggage claim,Odbiór bagażu,Go to the baggage claim area to collect your luggage.,"Idź do strefy odbioru bagażu, aby odebrać swój bagaż.",B2
Podróż,Cruise,Rejs,We went on a Mediterranean cruise last summer.,Latem odbyliśmy rejs po Morzu Śródziemnym.,B2
Podróż,Adventure,Przygoda,The trip was an adventure of a lifetime.,Podróż była przygodą życia.,B2
Podróż,Cultural,Kulturalny,The cultural experience was one of the highlights of the trip.,Doświadczenie kulturalne było jednym z najważniejszych punktów wyjazdu.,B2
Podróż,Scenic,Malowniczy,We took a scenic drive through the countryside.,Wzięliśmy malowniczą przejażdżkę przez wieś.,B2
Podróż,Local cuisine,Kuchnia lokalna,Trying the local cuisine is always a highlight of traveling.,Próbowanie kuchni lokalnej zawsze jest atrakcją podróży.,B2
Podróż,Travel guide,Przewodnik (osoba),Our travel guide was very knowledgeable and helpful.,Nasz przewodnik był bardzo kompetentny i pomocny.,B2
Podróż,Tour,Wycieczka,The city tour lasted for three hours.,Wycieczka po mieście trwała trzy godziny.,B2
Podróż,Package tour,Wycieczka zorganizowana,We booked a package tour to simplify our travel arrangements.,"Zarezerwowaliśmy wycieczkę zorganizowaną, aby uprościć nasze plany podróży.",B2
Podróż,Jet lag,Jet lag,I suffered from jet lag after my long flight.,Miałem jet lag po długim locie.,B2
Podróż,Hostel,Hostel,She stayed in a hostel to meet other travelers.,"Zatrzymała się w hostelu, aby poznać innych podróżników.",B2
Podróż,Visa application,Wniosek wizowy,I need to fill out a visa application before my trip.,Muszę wypełnić wniosek wizowy przed moją podróżą.,B2
Podróż,Travel agent,Agent podróży,The travel agent helped us plan our vacation.,Agent podróży pomógł nam zaplanować wakacje.,B2
Psychologia,Therapy,Terapia,She attends therapy sessions once a week.,Chodzi na sesje terapeutyczne raz w tygodniu.,B2
Psychologia,Counseling,Poradnictwo,Counseling can help individuals work through their issues.,Poradnictwo może pomóc osobom w radzeniu sobie z problemami.,B2
Psychologia,Depression,Depresja,"Depression can affect anyone, regardless of age.","Depresja może dotknąć każdego, bez względu na wiek.",B2
Psychologia,Anxiety,Lęk,Many people experience anxiety in social situations.,Wiele osób odczuwa lęk w sytuacjach społecznych.,B2
Psychologia,Self-esteem,Samoocena,Building self-esteem is crucial for personal development.,Budowanie samooceny jest kluczowe dla rozwoju osobistego.,B2
Psychologia,Stress,Stres,Stress can have a significant impact on physical health.,Stres może mieć istotny wpływ na zdrowie fizyczne.,B2
Psychologia,Cognitive,Poznawczy,Cognitive therapies focus on changing negative thought patterns.,Terapie poznawcze koncentrują się na zmianie negatywnych wzorców myślenia.,B2
Psychologia,Behavior,Zachowanie,Understanding behavior is key to effective therapy.,Zrozumienie zachowania jest kluczowe dla skutecznej terapii.,B2
Psychologia,Trauma,Trauma,Trauma can result from a single event or prolonged exposure.,Trauma może wynikać z jednorazowego zdarzenia lub długotrwałej ekspozycji.,B2
Psychologia,Psychiatrist,Psychiatra,A psychiatrist can prescribe medication for mental health issues.,Psychiatra może przepisać leki na problemy zdrowia psychicznego.,B2
Psychologia,Mindfulness,Uważność,Practicing mindfulness can help reduce stress.,Praktykowanie uważności może pomóc w redukcji stresu.,B2
Psychologia,Insight,Wgląd,Gaining insight into one's behavior is often the first step in therapy.,Uzyskanie wglądu w swoje zachowanie często jest pierwszym krokiem w terapii.,B2
Psychologia,Emotion,Emocja,Emotions play a significant role in our mental well-being.,Emocje odgrywają istotną rolę w naszym dobrostanie psychicznym.,B2
Psychologia,Counselor,Doradca,A counselor provides support and guidance to clients.,Doradca zapewnia wsparcie i kierunek klientom.,B2
Psychologia,Therapist,Terapeuta,The therapist used various techniques to help the patient.,"Terapeuta użył różnych technik, aby pomóc pacjentowi.",B2
Psychologia,Coping mechanisms,Mechanizmy radzenia sobie,Effective coping mechanisms are important for managing stress.,Skuteczne mechanizmy radzenia sobie są ważne dla zarządzania stresem.,B2
Psychologia,Phobia,Fobia,"She has a phobia of spiders, which affects her daily life.","Ma fobię na punkcie pająków, co wpływa na jej codzienne życie.",B2
Psychologia,Resilience,Odporność psychiczna,Building resilience can help individuals overcome adversity.,Budowanie odporności psychicznej może pomóc ludziom przezwyciężyć trudności.,B2
Psychologia,Addiction,Uzależnienie,Addiction can have severe effects on a person's life.,Uzależnienie może mieć poważne skutki dla życia osoby.,B2
Psychologia,Support group,Grupa wsparcia,Joining a support group can provide comfort and understanding.,Dołączenie do grupy wsparcia może zapewnić komfort i zrozumienie.,B2
Psychologia,Self-awareness,Samoświadomość,Self-awareness is essential for personal growth.,Samoświadomość jest niezbędna do rozwoju osobistego.,B2
Psychologia,Psychoanalysis,Psychoanaliza,Psychoanalysis explores unconscious thoughts and feelings.,Psychoanaliza bada nieświadome myśli i uczucia.,B2
Psychologia,Behavioral,Behawioralny,Behavioral therapy focuses on changing specific behaviors.,Terapia behawioralna koncentruje się na zmianie konkretnych zachowań.,B2
Psychologia,Adjustment,Przystosowanie,Adjustment to a new environment can be challenging.,Przystosowanie się do nowego środowiska może być wyzwaniem.,B2
Psychologia,Grief,Żal,Grief is a natural response to losing someone close.,Żal to naturalna reakcja na utratę bliskiej osoby.,B2
Psychologia,Self-care,Samopielęgnacja,Self-care practices are important for maintaining mental health.,Praktyki samopielęgnacji są ważne dla utrzymania zdrowia psychicznego.,B2
Psychologia,Mental health,Zdrowie psychiczne,Mental health is as important as physical health.,Zdrowie psychiczne jest równie ważne jak zdrowie fizyczne.,B2
Psychologia,Emotional support,Wsparcie emocjonalne,Emotional support from friends and family can be very helpful.,Wsparcie emocjonalne od przyjaciół i rodziny może być bardzo pomocne.,B2
Psychologia,Therapeutic,Terapeutyczny,Therapeutic techniques can aid in personal development.,Techniki terapeutyczne mogą wspierać rozwój osobisty.,B2
Psychologia,Clinical,Kliniczny,Clinical psychologists often work in hospitals and clinics.,Psycholodzy kliniczni często pracują w szpitalach i klinikach.,B2
Klimat,Climate change,Zmiana klimatu,Climate change is a pressing global issue.,Zmiana klimatu to pilny problem globalny.,B2
Klimat,Greenhouse gases,Gazy cieplarniane,Greenhouse gases trap heat in the Earth's atmosphere.,Gazy cieplarniane zatrzymują ciepło w atmosferze Ziemi.,B2
Klimat,Global warming,Globalne ocieplenie,Global warming is leading to rising sea levels.,Globalne ocieplenie prowadzi do podnoszenia się poziomu mórz.,B2
Klimat,Carbon footprint,Ślad węglowy,Reducing your carbon footprint can help mitigate climate change.,Zmniejszenie śladu węglowego może pomóc w łagodzeniu zmiany klimatu.,B2
Klimat,Renewable energy,Energia odnawialna,Using renewable energy sources can reduce greenhouse gas emissions.,Korzystanie z odnawialnych źródeł energii może zmniejszyć emisję gazów cieplarnianych.,B2
Klimat,Sustainability,Zrównoważony rozwój,Sustainability is crucial for protecting the environment.,Zrównoważony rozwój jest kluczowy dla ochrony środowiska.,B2
Klimat,Deforestation,Wylesianie,Deforestation contributes to the loss of biodiversity.,Wylesianie przyczynia się do utraty bioróżnorodności.,B2
Klimat,Ecosystem,Ekosystem,Healthy ecosystems are vital for maintaining balance in nature.,Zdrowe ekosystemy są niezbędne do utrzymania równowagi w przyrodzie.,B2
Klimat,Biodiversity,Bioróżnorodność,Protecting biodiversity helps ensure ecosystem stability.,Ochrona bioróżnorodności pomaga zapewnić stabilność ekosystemów.,B2
Klimat,Climate model,Model klimatyczny,Climate models predict future changes in temperature and precipitation.,Modele klimatyczne przewidują przyszłe zmiany temperatury i opadów.,B2
Klimat,Sea level rise,Wzrost poziomu mórz,Sea level rise poses a threat to coastal communities.,Wzrost poziomu mórz stanowi zagrożenie dla społeczności nadmorskich.,B2
Klimat,Extreme weather,Ekstremalne zjawiska pogodowe,Extreme weather events are becoming more frequent due to climate change.,Ekstremalne zjawiska pogodowe stają się coraz częstsze z powodu zmiany klimatu.,B2
Klimat,Heatwave,Fala upałów,Heatwaves can have serious health impacts on vulnerable populations.,Fale upałów mogą mieć poważne skutki zdrowotne dla wrażliwych grup.,B2
Klimat,Melting glaciers,Topniejące lodowce,Melting glaciers contribute to rising sea levels.,Topniejące lodowce przyczyniają się do wzrostu poziomu mórz.,B2
Klimat,Carbon dioxide,Dwutlenek węgla,Carbon dioxide is a major greenhouse gas.,Dwutlenek węgla jest głównym gazem cieplarnianym.,B2
Klimat,Green energy,Zielona energia,Green energy sources include wind and solar power.,Źródła zielonej energii obejmują energię wiatrową i słoneczną.,B2
Klimat,Environmental impact,Wpływ na środowisko,The environmental impact of industrial activities can be significant.,Wpływ działalności przemysłowej na środowisko może być znaczący.,B2
Klimat,Climate adaptation,Adaptacja do zmiany klimatu,Climate adaptation involves adjusting to the effects of climate change.,Adaptacja do zmiany klimatu polega na dostosowywaniu się do skutków zmiany klimatu.,B2
Klimat,Climate mitigation,Łagodzenie zmiany klimatu,Climate mitigation includes efforts to reduce greenhouse gas emissions.,Łagodzenie zmiany klimatu obejmuje wysiłki na rzecz redukcji emisji gazów cieplarnianych.,B2
Klimat,Renewable resources,Zasoby odnawialne,Renewable resources can help reduce our reliance on fossil fuels.,Zasoby odnawialne mogą pomóc w zmniejszeniu naszego uzależnienia od paliw kopalnych.,B2
Klimat,Green technology,Zielona technologia,Green technology aims to create sustainable solutions for energy and waste management.,Zielona technologia ma na celu stworzenie zrównoważonych rozwiązań dla zarządzania energią i odpadami.,B2
Klimat,Carbon neutral,Neutralny węglowo,Becoming carbon neutral involves offsetting carbon emissions through various measures.,Bycie neutralnym węglowo polega na kompensowaniu emisji węgla poprzez różne środki.,B2
Klimat,Urban heat island,Wyspa ciepła,Urban heat islands occur when cities experience higher temperatures than surrounding areas.,"Wyspy ciepła występują, gdy miasta doświadczają wyższych temperatur niż otaczające je obszary.",B2
Klimat,Natural disaster,Klęska żywiołowa,"Natural disasters, such as hurricanes and floods, can be intensified by climate change.","Klęski żywiołowe, takie jak huragany i powodzie, mogą być zaostrzone przez zmiany klimatu.",B2
Klimat,Sustainable development,Zrównoważony rozwój,Sustainable development seeks to meet the needs of the present without compromising future generations.,Zrównoważony rozwój dąży do zaspokojenia potrzeb teraźniejszości bez kompromisowania potrzeb przyszłych pokoleń.,B2
Klimat,Air pollution,Zanieczyszczenie powietrza,Air pollution from vehicles and industries can exacerbate climate change.,Zanieczyszczenie powietrza spowodowane przez pojazdy i przemysł może pogłębiać zmiany klimatu.,B2
Klimat,Natural resources,Surowce naturalne,Protecting natural resources is essential for future generations.,Ochrona surowców naturalnych jest niezbędna dla przyszłych pokoleń.,B2
Klimat,Hydroponics,Hydroponika,Hydroponics is a method of growing plants without soil.,Hydroponika to metoda uprawy roślin bez gleby.,B2
Klimat,Carbon sequestration,Sekwestracja węgla,Carbon sequestration involves capturing and storing carbon dioxide from the atmosphere.,Sekwestracja węgla polega na wychwytywaniu i przechowywaniu dwutlenku węgla z atmosfery.,B2
Klimat,Greenhouse effect,Efekt cieplarniany,The greenhouse effect is a natural process that warms the Earth’s surface.,"Efekt cieplarniany to naturalny proces, który ociepla powierzchnię Ziemi.",B2
Pogoda,Weather,Pogoda,The weather is sunny today.,Pogoda jest dzisiaj słoneczna.,B1
Pogoda,Rain,Deszcz,It is going to rain later this afternoon.,Ma padać deszcz później tego popołudnia.,B1
Pogoda,Sunny,Słoneczny,We had a sunny day at the beach.,Mieliśmy słoneczny dzień na plaży.,B1
Pogoda,Cloudy,Pochmurny,The sky is cloudy and gray.,Niebo jest pochmurne i szare.,B1
Pogoda,Windy,Wietrznie,It’s very windy outside today.,Dzisiaj jest bardzo wietrznie na zewnątrz.,B1
Pogoda,Snow,Śnieg,There is a lot of snow on the ground.,Na ziemi leży dużo śniegu.,B1
Pogoda,Temperature,Temperatura,The temperature dropped below freezing last night.,Temperatura spadła poniżej zera zeszłej nocy.,B1
Pogoda,Forecast,Prognoza pogody,The weather forecast predicts thunderstorms this evening.,Prognoza pogody przewiduje burze wieczorem.,B1
Pogoda,Humidity,Wilgotność,"The humidity is high, making it feel warmer than it is.","Wilgotność jest wysoka, co sprawia, że wydaje się cieplej niż jest.",B1
Pogoda,Storm,Burza,"A storm is approaching, so we should stay indoors.","Nadchodzi burza, więc powinniśmy zostać w środku.",B1
Pogoda,Thunder,Grzmot,We heard thunder during the night.,Słyszeliśmy grzmot w nocy.,B1
Pogoda,Lightning,Błyskawica,The lightning was very bright during the storm.,Błyskawica była bardzo jasna podczas burzy.,B1
Pogoda,Fog,Mgła,The fog is so thick that I can barely see the road.,"Mgła jest tak gęsta, że ledwo widzę drogę.",B1
Pogoda,Drizzle,Mżawka,It’s just a light drizzle this morning.,Rano jest tylko lekka mżawka.,B1
Pogoda,Overcast,Zachmurzenie,"The sky is overcast, so it might rain later.","Niebo jest zachmurzone, więc może padać później.",B1
Pogoda,Clear,Czysty,"The sky is clear, with no clouds in sight.","Niebo jest czyste, bez chmur w zasięgu wzroku.",B1
Pogoda,Frost,Mróz,There was a frost on the car windows this morning.,Rano na szybach samochodu był mróz.,B1
Pogoda,Gust,Poryw wiatru,We felt a sudden gust of wind while walking.,Poczułem nagły poryw wiatru podczas spaceru.,B1
Pogoda,Chilly,Chłodny,"It feels a bit chilly today, so I need a jacket.","Dziś jest trochę chłodno, więc potrzebuję kurtki.",B1
Pogoda,Heatwave,Fala upałów,We are experiencing a heatwave this week.,W tym tygodniu mamy falę upałów.,B1
Pogoda,Thunderstorm,Burza z piorunami,The thunderstorm caused a power outage in our area.,Burza z piorunami spowodowała przerwę w dostawie prądu w naszej okolicy.,B1
Pogoda,Rainy,Deszczowy,The weather is rainy all week long.,Pogoda jest deszczowa przez cały tydzień.,B1
Pogoda,Warm,Ciepły,The weather is warm and pleasant today.,Pogoda jest dzisiaj ciepła i przyjemna.,B1
Pogoda,Icy,Śliski,The roads are icy and dangerous this morning.,Drogi są śliskie i niebezpieczne dzisiaj rano.,B1
Pogoda,Mild,Łagodny,We are having a mild winter this year.,Mamy łagodną zimę w tym roku.,B1
Pogoda,Barometer,Barometr,"The barometer is dropping, which might indicate a change in weather.","Barometr spada, co może wskazywać na zmianę pogody.",B1
Pogoda,Blizzard,Śnieżyca,The blizzard made travel very difficult.,Śnieżyca bardzo utrudniła podróżowanie.,B1
Pogoda,Weather pattern,Wzór pogodowy,The weather pattern this month has been unusual.,Wzór pogodowy w tym miesiącu był nietypowy.,B1
